Organ zgłaszający;Usługa pobierania ▴
Starosta Powiatu Bydgoskiego;https://mapy.geoportal.gov.pl/wss/ext/PowiatoweBazyEwidencjiGruntow/0403
Starosta Średzki;https://mapy.geoportal.gov.pl/wss/ext/PowiatoweBazyEwidencjiGruntow/0218
Starosta Powiatu Mikołowskiego;https://mapa.mikolowski.pl/map/geoportal/wfs.php
Prezydent Miasta Łodzi;https://mapa.lodz.pl/OGC/EGiB/
Starosta Powiatu Brodnickiego;https://mapa.brodnica.com.pl/map/geoportal/wfs.php
Starosta Powiatu Aleksandrowskiego;https://mapa.aleksandrow.pl/map/geoportal/wfs.php
Starosta Malborski;https://malborski-wms.webewid.pl/iip/ows
Starosta Makowski;https://makow.geoportal2.pl/map/geoportal/wfs.php
Starosta Lubiński;https://lubinski-wms.webewid.pl/iip/ows
Starosta Powiatu Lubaczowskiego;https://lubaczow.geoportal2.pl/map/geoportal/wfse.php
Starosta Powiatu Łosickiego;https://losice.geoportal2.pl/map/geoportal/wfse.php
Prezydent Miasta Łomża;https://lomzynski-wms.webewid.pl/iip/ows
Starosta Łomżyński;https://lomzynski-wms.webewid.pl/iip/ows
Starosta Łódzki Wschodni;https://lodzkiwschodni.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Lipnowskiego;https://lipno.geoportal2.pl/map/geoportal/wfs.php
Starosta Limanowski;https://limanowski-wms.webewid.pl/iip/ows
Starosta Leżajski;https://lezajsk.geoportal2.pl/map/geoportal/wfs.php
Starosta Leszczyński;https://leszczynski.webewid.pl:543/iip/ows
Starosta Powiatu Leskiego;https://lesko.geoportal2.pl/map/geoportal/wfs.php
Starosta Legnicki;https://legnicki-wms.webewid.pl/iip/ows
Starosta Łęczycki;https://leczycki.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Łęczyńskiego;https://leczna.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Lęborskiego;https://leborski.webewid.pl:44443/iip/ows
Starosta Łaski;https://lask.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Łańcuckiego;https://lancut.geoportal2.pl/map/geoportal/wfs.php
Starosta Kwidzyński;https://kwidzynski-wms.webewid.pl/iip/ows
Prezydent Miasta Krosna;https://krosno-wms.webewid.pl/iip/ows
Starosta Krośnieński;https://krosnienski-wms.webewid.pl/iip/ows
Starosta Kraśnicki;https://krasnicki-wms.webewid.pl/iip/ows
Starosta Kozienicki;https://kozienicepowiat.geoportal2.pl/map/geoportal/wfs.php
Starosta Koszaliński;https://koszalinski-wms.webewid.pl/iip/ows
Starosta Kościerski;https://koscierski-wms.webewid.pl/iip/ows
Starosta Powiatu Koneckiego;https://konskie.geoportal2.pl/map/geoportal/wfs.php
Starosta Koniński;https://konin.geoportal2.pl/map/geoportal/wfs.php
Starosta Kołobrzeski;https://kolobrzeski-wms.webewid.pl/iip/ows
Starosta Kolneński;https://kolnenski-wms.webewid.pl/iip/ows
Starosta Kolbuszowski;https://kolbuszowa.geoportal2.pl/map/geoportal/wfs.php
Burmistrz Gminy Kęty;https://kety.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Kazimierskiego;https://kazimierzaw.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Kartuskiego;https://kartuski-wms.webewid.pl/iip/ows
Starosta Kaliski;https://kalisz.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Jędrzejowskiego;https://jedrzejow.geoportal2.pl/map/geoportal/wfs.php
Prezydent Miasta Jaworzna;https://jaworzno-wms.webewid.pl/iip/ows
Starosta Jaworski;https://jawor.geoportal2.pl/map/geoportal/wfs.php
